epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.429,3.75131,4.59923,3.83988,0.00258,0.10655,0.00042,8e-05,nan,nan,nan,0.00332653,0.00332653,0.0700612
2,223.819,3.26531,3.99012,3.09728,0.04769,0.09112,0.04166,0.01403,nan,nan,nan,0.00663789,0.00663789,0.0400392
3,328.103,2.48889,3.33221,2.46099,0.19698,0.18854,0.11209,0.04249,2.27928,3.80732,2.36218,0.00992724,0.00992724,0.00999527
4,434.467,2.17399,2.89086,2.1207,0.28747,0.28189,0.22816,0.09495,2.03008,2.71773,2.09102,0.009901,0.009901,0.009901
5,534.794,2.02224,2.60319,1.97498,0.36452,0.32125,0.28542,0.12456,1.96725,2.43976,1.9911,0.009868,0.009868,0.009868
6,635.305,1.93246,2.39772,1.88183,0.43851,0.36818,0.34342,0.1558,1.85354,2.27983,1.88069,0.009835,0.009835,0.009835
7,734.452,1.86566,2.25,1.80706,0.48491,0.38176,0.38325,0.18453,1.78762,2.16541,1.81075,0.009802,0.009802,0.009802
8,835.054,1.82625,2.16027,1.76697,0.52651,0.42917,0.42958,0.2131,1.72508,2.04075,1.73928,0.009769,0.009769,0.009769
9,935.432,1.79133,2.07425,1.7289,0.56857,0.4369,0.45435,0.23313,1.69454,2.01131,1.72462,0.009736,0.009736,0.009736
10,1035.09,1.75436,1.99998,1.69031,0.57159,0.46347,0.47507,0.2427,1.65887,1.90876,1.68073,0.009703,0.009703,0.009703
11,1134.96,1.71315,1.93634,1.66003,0.59976,0.48381,0.51529,0.27401,1.62398,1.82478,1.63624,0.00967,0.00967,0.00967
12,1234.05,1.69281,1.89129,1.63251,0.61202,0.49967,0.5298,0.28755,1.60436,1.76862,1.61211,0.009637,0.009637,0.009637
13,1333.9,1.67949,1.84804,1.61932,0.63608,0.5173,0.56401,0.31193,1.57251,1.72707,1.5905,0.009604,0.009604,0.009604
14,1433.87,1.65609,1.80606,1.59003,0.63768,0.52,0.56589,0.31812,1.54323,1.68334,1.55489,0.009571,0.009571,0.009571
15,1533.56,1.63049,1.7708,1.5713,0.66817,0.52608,0.5797,0.33185,1.51745,1.65306,1.54242,0.009538,0.009538,0.009538
16,1632.86,1.61157,1.72461,1.55878,0.66852,0.5419,0.59265,0.33606,1.52578,1.59749,1.53325,0.009505,0.009505,0.009505
17,1732.34,1.59843,1.6968,1.54619,0.6755,0.54379,0.59317,0.34053,1.51565,1.59692,1.52776,0.009472,0.009472,0.009472
18,1832.89,1.59207,1.66888,1.53835,0.6745,0.55564,0.60621,0.35333,1.49763,1.57428,1.50654,0.009439,0.009439,0.009439
19,1931.74,1.57439,1.63838,1.51587,0.70468,0.55447,0.62056,0.36131,1.48578,1.51851,1.49683,0.009406,0.009406,0.009406
20,2030.83,1.55787,1.61801,1.51261,0.70276,0.57045,0.63316,0.37284,1.45415,1.4943,1.47684,0.009373,0.009373,0.009373
21,2130.5,1.54977,1.59965,1.50275,0.71398,0.57144,0.63745,0.37508,1.4622,1.48975,1.47388,0.00934,0.00934,0.00934
22,2230.92,1.54304,1.57114,1.49224,0.71285,0.5774,0.64111,0.38429,1.43136,1.47388,1.45143,0.009307,0.009307,0.009307
23,2330.81,1.52829,1.55098,1.4764,0.71177,0.58956,0.65057,0.39247,1.42235,1.43968,1.44605,0.009274,0.009274,0.009274
24,2430.97,1.5293,1.53631,1.47281,0.71205,0.58993,0.65211,0.39462,1.41072,1.43627,1.4317,0.009241,0.009241,0.009241
25,2530.34,1.5198,1.52358,1.46212,0.71118,0.5947,0.6612,0.39939,1.40861,1.40509,1.43104,0.009208,0.009208,0.009208
26,2630.23,1.5079,1.50809,1.4595,0.70847,0.59547,0.65427,0.39778,1.40428,1.40457,1.42382,0.009175,0.009175,0.009175
27,2730.64,1.49959,1.47916,1.44683,0.73422,0.6004,0.66829,0.40786,1.39167,1.38013,1.41321,0.009142,0.009142,0.009142
28,2830.11,1.48682,1.47387,1.44116,0.73888,0.59847,0.66993,0.41302,1.37699,1.36163,1.40463,0.009109,0.009109,0.009109
29,2929.76,1.47688,1.44708,1.43273,0.74649,0.60615,0.67583,0.4179,1.3655,1.33691,1.39483,0.009076,0.009076,0.009076
30,3029.62,1.46689,1.43353,1.42168,0.72138,0.62292,0.6829,0.42354,1.36713,1.31049,1.39794,0.009043,0.009043,0.009043
31,3129.1,1.4683,1.43051,1.42019,0.7404,0.62417,0.69219,0.43062,1.35642,1.30554,1.38181,0.00901,0.00901,0.00901
32,3228.61,1.46111,1.41755,1.41427,0.76106,0.61647,0.69828,0.43416,1.35433,1.29106,1.38262,0.008977,0.008977,0.008977
33,3327.57,1.45071,1.40433,1.40658,0.74508,0.62625,0.69639,0.43639,1.34091,1.27511,1.37159,0.008944,0.008944,0.008944
34,3426.91,1.44652,1.39092,1.41064,0.7573,0.63751,0.70878,0.44331,1.34134,1.25609,1.36539,0.008911,0.008911,0.008911
35,3526.27,1.4476,1.37808,1.40074,0.76403,0.63639,0.7095,0.4462,1.32556,1.24233,1.35227,0.008878,0.008878,0.008878
36,3625.55,1.44263,1.36805,1.39874,0.75757,0.64442,0.71478,0.45343,1.3262,1.24285,1.35539,0.008845,0.008845,0.008845
37,3725.26,1.43503,1.35239,1.38583,0.76217,0.64041,0.71756,0.45275,1.31985,1.22316,1.35068,0.008812,0.008812,0.008812
38,3824.65,1.42656,1.34496,1.38475,0.75243,0.65072,0.71825,0.45318,1.30675,1.22298,1.33921,0.008779,0.008779,0.008779
39,3923.64,1.42409,1.34259,1.3804,0.76222,0.64757,0.72088,0.45956,1.30521,1.20958,1.33794,0.008746,0.008746,0.008746
40,4022.96,1.41231,1.31965,1.37595,0.76408,0.65304,0.7255,0.46123,1.30256,1.19625,1.3335,0.008713,0.008713,0.008713
41,4122.25,1.40541,1.31784,1.36981,0.78189,0.64732,0.72965,0.46626,1.29431,1.18829,1.32833,0.00868,0.00868,0.00868
42,4221.29,1.40394,1.31151,1.36444,0.77862,0.65779,0.73425,0.47142,1.28845,1.17911,1.32623,0.008647,0.008647,0.008647
43,4321.21,1.40002,1.29208,1.35862,0.78817,0.65725,0.7368,0.47221,1.28405,1.16119,1.31917,0.008614,0.008614,0.008614
44,4421.8,1.39194,1.28276,1.35662,0.78545,0.66034,0.73873,0.4752,1.28039,1.15917,1.31672,0.008581,0.008581,0.008581
45,4521.49,1.39602,1.28979,1.3567,0.77522,0.6633,0.73835,0.48012,1.27506,1.15019,1.30786,0.008548,0.008548,0.008548
46,4621.45,1.38933,1.27905,1.35129,0.78251,0.6659,0.74314,0.48139,1.27153,1.13958,1.30946,0.008515,0.008515,0.008515
47,4721.25,1.37798,1.26409,1.34914,0.78235,0.67258,0.74681,0.48497,1.25978,1.13003,1.30368,0.008482,0.008482,0.008482
48,4820.72,1.37221,1.24371,1.33821,0.80701,0.6612,0.74981,0.48663,1.26227,1.11661,1.30099,0.008449,0.008449,0.008449
49,4920.19,1.37487,1.25368,1.34806,0.78264,0.67437,0.75182,0.48978,1.25194,1.11805,1.29783,0.008416,0.008416,0.008416
50,5020.18,1.37695,1.24709,1.34408,0.79397,0.67393,0.75405,0.49113,1.25285,1.11215,1.29519,0.008383,0.008383,0.008383
51,5119.42,1.36519,1.23087,1.33612,0.78088,0.67795,0.75292,0.49018,1.25252,1.09883,1.29331,0.00835,0.00835,0.00835
52,5219.1,1.36612,1.22838,1.33511,0.78727,0.68347,0.75808,0.49699,1.24519,1.09248,1.28504,0.008317,0.008317,0.008317
53,5318.32,1.3596,1.21287,1.32766,0.7957,0.6787,0.75851,0.49582,1.24322,1.08745,1.2852,0.008284,0.008284,0.008284
54,5417.37,1.35629,1.21064,1.32748,0.77594,0.6915,0.76228,0.50079,1.23628,1.0765,1.27938,0.008251,0.008251,0.008251
55,5516.83,1.36011,1.21148,1.32467,0.79054,0.6862,0.76332,0.50135,1.23315,1.07183,1.27795,0.008218,0.008218,0.008218
56,5616.14,1.3487,1.19828,1.32397,0.77568,0.69436,0.764,0.50259,1.23025,1.06569,1.27362,0.008185,0.008185,0.008185
57,5715.19,1.34164,1.18975,1.31829,0.79173,0.68941,0.76552,0.50497,1.22795,1.0582,1.27458,0.008152,0.008152,0.008152
58,5814.81,1.3485,1.192,1.31965,0.79214,0.69273,0.7695,0.50925,1.22329,1.05141,1.2711,0.008119,0.008119,0.008119
59,5913.98,1.33794,1.17325,1.31184,0.79286,0.69217,0.76854,0.50783,1.22206,1.05679,1.27023,0.008086,0.008086,0.008086
60,6013.2,1.33519,1.17265,1.31017,0.77812,0.70505,0.77117,0.51052,1.21845,1.04666,1.26626,0.008053,0.008053,0.008053
61,6113.09,1.33764,1.17391,1.30909,0.79548,0.69666,0.77289,0.51209,1.21312,1.03714,1.2605,0.00802,0.00802,0.00802
62,6213.13,1.32724,1.16984,1.30128,0.80199,0.69742,0.77719,0.51686,1.21009,1.03269,1.25716,0.007987,0.007987,0.007987
63,6312.65,1.32829,1.16329,1.30763,0.79619,0.70468,0.77575,0.51788,1.20766,1.02998,1.25524,0.007954,0.007954,0.007954
64,6411.68,1.3324,1.16182,1.30179,0.79437,0.70469,0.775,0.51729,1.20613,1.01915,1.25501,0.007921,0.007921,0.007921
65,6511.16,1.31976,1.14452,1.29397,0.79021,0.70478,0.77643,0.51706,1.20136,1.01833,1.25153,0.007888,0.007888,0.007888
66,6610.28,1.31869,1.14927,1.29584,0.80521,0.70798,0.78302,0.5222,1.20057,1.01443,1.25074,0.007855,0.007855,0.007855
67,6709.35,1.30799,1.13688,1.28946,0.80795,0.70643,0.7845,0.52262,1.20142,1.00937,1.25041,0.007822,0.007822,0.007822
68,6808.46,1.3057,1.12666,1.28722,0.80034,0.70973,0.78316,0.52298,1.1962,1.00409,1.24543,0.007789,0.007789,0.007789
69,6907.57,1.3112,1.12909,1.28473,0.80747,0.71064,0.78327,0.52453,1.19262,1.00189,1.24553,0.007756,0.007756,0.007756
70,7006.49,1.30342,1.12241,1.28328,0.80689,0.70751,0.78468,0.52694,1.18703,0.99792,1.23862,0.007723,0.007723,0.007723
71,7105.39,1.30817,1.12071,1.28173,0.80332,0.71429,0.78807,0.52854,1.18618,0.99228,1.23759,0.00769,0.00769,0.00769
72,7205.08,1.29452,1.11233,1.27625,0.80318,0.72089,0.78908,0.52884,1.18604,0.99019,1.23759,0.007657,0.007657,0.007657
73,7304.54,1.29971,1.10479,1.27517,0.81187,0.71057,0.7885,0.52911,1.18498,0.98866,1.2351,0.007624,0.007624,0.007624
74,7403.36,1.29533,1.10479,1.27702,0.79361,0.72482,0.7893,0.5314,1.18261,0.986,1.23324,0.007591,0.007591,0.007591
75,7502.71,1.28794,1.09406,1.27202,0.81736,0.71135,0.78839,0.53143,1.18145,0.98628,1.23372,0.007558,0.007558,0.007558
76,7602.09,1.28896,1.08831,1.26966,0.80444,0.72324,0.79087,0.53325,1.18092,0.97665,1.2337,0.007525,0.007525,0.007525
77,7701.27,1.28603,1.08642,1.27054,0.80904,0.72123,0.79236,0.53599,1.17827,0.97367,1.23183,0.007492,0.007492,0.007492
78,7800.49,1.28226,1.07989,1.26368,0.81139,0.71957,0.79358,0.53637,1.17921,0.96512,1.23156,0.007459,0.007459,0.007459
79,7899.71,1.27921,1.07099,1.26603,0.80957,0.72367,0.79534,0.53674,1.17609,0.96026,1.22883,0.007426,0.007426,0.007426
80,7999.53,1.27861,1.0799,1.2645,0.79186,0.73221,0.79508,0.53766,1.17354,0.95647,1.22755,0.007393,0.007393,0.007393
81,8099.51,1.28557,1.07058,1.26355,0.80388,0.72999,0.79757,0.53895,1.17367,0.95811,1.22752,0.00736,0.00736,0.00736
82,8199.09,1.2785,1.07633,1.26042,0.81018,0.72461,0.79763,0.53811,1.17235,0.95417,1.22764,0.007327,0.007327,0.007327
83,8297.86,1.27574,1.06105,1.26136,0.80781,0.73056,0.79807,0.53964,1.16969,0.94923,1.22612,0.007294,0.007294,0.007294
