epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.704,3.68624,4.40518,3.42648,0.00194,0.1463,0.00219,0.00059,nan,nan,nan,0.00332857,0.00332857,0.0700429
2,371.455,3.04434,3.77376,2.80354,0.44684,0.07694,0.06147,0.02341,nan,nan,nan,0.00664542,0.00664542,0.0400264
3,550.437,2.48445,3.18879,2.35671,0.26087,0.18682,0.15841,0.06126,nan,nan,nan,0.00994576,0.00994576,0.00999338
4,727.588,2.21649,2.79679,2.09933,0.33946,0.27746,0.24156,0.10184,2.06777,2.57805,2.07293,0.00992575,0.00992575,0.00992575
5,905.728,2.06825,2.52764,1.95369,0.44285,0.31392,0.29991,0.12956,1.94934,2.3888,1.91495,0.009901,0.009901,0.009901
6,1082.57,1.99248,2.36313,1.86613,0.46477,0.3573,0.34415,0.15515,1.90042,2.26499,1.87707,0.00987625,0.00987625,0.00987625
7,1259.05,1.92509,2.22429,1.79063,0.52553,0.39854,0.40652,0.19104,1.82214,2.08471,1.77129,0.0098515,0.0098515,0.0098515
8,1435.74,1.88109,2.13388,1.74447,0.54927,0.43172,0.45155,0.21604,1.78368,1.99166,1.73086,0.00982675,0.00982675,0.00982675
9,1612.51,1.84605,2.04465,1.69907,0.57521,0.44359,0.46303,0.2274,1.72377,1.92984,1.6755,0.009802,0.009802,0.009802
10,1788.56,1.80385,1.98429,1.65972,0.6008,0.47938,0.50842,0.25552,1.70808,1.83534,1.63198,0.00977725,0.00977725,0.00977725
11,1962.16,1.76879,1.92298,1.63084,0.65161,0.48689,0.53811,0.28392,1.65448,1.75843,1.59386,0.0097525,0.0097525,0.0097525
12,2135.72,1.74089,1.88006,1.61216,0.64163,0.50985,0.54813,0.29014,1.63141,1.7268,1.57758,0.00972775,0.00972775,0.00972775
13,2308.88,1.71198,1.82116,1.58455,0.6411,0.51226,0.56504,0.30173,1.62693,1.67709,1.56651,0.009703,0.009703,0.009703
14,2482.6,1.6963,1.79128,1.56576,0.65575,0.52018,0.57567,0.31029,1.59381,1.63905,1.54859,0.00967825,0.00967825,0.00967825
15,2656.51,1.6685,1.75613,1.5435,0.67552,0.54548,0.60319,0.33307,1.56178,1.57346,1.51006,0.0096535,0.0096535,0.0096535
16,2829.53,1.65105,1.71107,1.5289,0.70201,0.55347,0.62151,0.34682,1.53288,1.53715,1.49153,0.00962875,0.00962875,0.00962875
17,3002.82,1.63701,1.68156,1.51376,0.67152,0.57045,0.61947,0.34857,1.52805,1.52376,1.47307,0.009604,0.009604,0.009604
18,3175.79,1.62004,1.63527,1.49771,0.71111,0.57397,0.63871,0.36304,1.5036,1.46112,1.46376,0.00957925,0.00957925,0.00957925
19,3348.85,1.60192,1.613,1.48736,0.7193,0.58495,0.65027,0.37524,1.49639,1.44901,1.45514,0.0095545,0.0095545,0.0095545
20,3522,1.59408,1.59513,1.47462,0.72795,0.58835,0.65748,0.38124,1.48212,1.43384,1.43727,0.00952975,0.00952975,0.00952975
21,3695.33,1.57622,1.56439,1.46455,0.72412,0.60617,0.66845,0.38809,1.46564,1.40204,1.42833,0.009505,0.009505,0.009505
22,3867.76,1.56445,1.5578,1.45821,0.72824,0.61484,0.67683,0.39814,1.45473,1.37355,1.41792,0.00948025,0.00948025,0.00948025
23,4040.47,1.55747,1.52159,1.44792,0.73797,0.61167,0.68049,0.40286,1.44307,1.36545,1.41149,0.0094555,0.0094555,0.0094555
24,4212.94,1.54639,1.5148,1.44343,0.74739,0.60831,0.68396,0.40708,1.42692,1.3406,1.4006,0.00943075,0.00943075,0.00943075
25,4385.72,1.53657,1.48879,1.43221,0.74054,0.61959,0.69335,0.41812,1.40074,1.31642,1.37983,0.009406,0.009406,0.009406
26,4558.94,1.5266,1.47579,1.42806,0.74501,0.62831,0.69794,0.42233,1.3918,1.30043,1.37808,0.00938125,0.00938125,0.00938125
27,4731.6,1.52236,1.46062,1.42332,0.76624,0.62945,0.70889,0.43128,1.39064,1.28288,1.37024,0.0093565,0.0093565,0.0093565
28,4904.65,1.50299,1.43432,1.40891,0.75111,0.63396,0.70866,0.43076,1.38652,1.27247,1.36555,0.00933175,0.00933175,0.00933175
29,5077.47,1.50092,1.43127,1.40593,0.77319,0.63278,0.71631,0.44082,1.36668,1.24902,1.35515,0.009307,0.009307,0.009307
30,5250.07,1.49266,1.42044,1.40054,0.78052,0.63533,0.72239,0.44275,1.36707,1.23777,1.34821,0.00928225,0.00928225,0.00928225
31,5423.21,1.48609,1.39771,1.39615,0.78489,0.64558,0.7282,0.4501,1.35452,1.22181,1.34465,0.0092575,0.0092575,0.0092575
32,5595.89,1.47605,1.37897,1.39161,0.7812,0.65032,0.73352,0.45363,1.35346,1.20281,1.33749,0.00923275,0.00923275,0.00923275
33,5768.78,1.47291,1.38194,1.38647,0.79234,0.65634,0.74021,0.46204,1.33632,1.19379,1.32927,0.009208,0.009208,0.009208
34,5941.52,1.46566,1.36581,1.38145,0.78025,0.66098,0.73837,0.45992,1.32572,1.18651,1.32126,0.00918325,0.00918325,0.00918325
35,6113.97,1.45976,1.35897,1.37783,0.78802,0.65909,0.74286,0.46389,1.32018,1.1834,1.31952,0.0091585,0.0091585,0.0091585
36,6286.61,1.45561,1.33997,1.37061,0.78934,0.66456,0.7467,0.4682,1.31315,1.16555,1.30873,0.00913375,0.00913375,0.00913375
37,6459.33,1.44079,1.32568,1.36465,0.78081,0.68029,0.75033,0.47094,1.30838,1.1483,1.30959,0.009109,0.009109,0.009109
38,6631.67,1.43702,1.32237,1.35933,0.79941,0.67256,0.753,0.47665,1.2961,1.13824,1.30344,0.00908425,0.00908425,0.00908425
39,6804.17,1.43721,1.3163,1.35803,0.80035,0.67808,0.75926,0.48295,1.2856,1.12607,1.29455,0.0090595,0.0090595,0.0090595
40,6976.6,1.4283,1.31076,1.35575,0.80126,0.6726,0.7566,0.48199,1.28533,1.12032,1.29302,0.00903475,0.00903475,0.00903475
41,7149.05,1.42088,1.29292,1.35066,0.79758,0.67388,0.75924,0.48433,1.27478,1.11399,1.28683,0.00901,0.00901,0.00901
42,7321.57,1.42036,1.28627,1.34961,0.79283,0.68247,0.76145,0.48797,1.27384,1.10406,1.28476,0.00898525,0.00898525,0.00898525
43,7494.36,1.41352,1.27829,1.34552,0.79306,0.68446,0.76493,0.49135,1.27238,1.10006,1.28307,0.0089605,0.0089605,0.0089605
44,7666.96,1.40719,1.26619,1.34238,0.78314,0.69052,0.76746,0.49239,1.26625,1.08772,1.277,0.00893575,0.00893575,0.00893575
45,7840.08,1.40941,1.2672,1.33952,0.80321,0.67991,0.76856,0.49379,1.26338,1.08659,1.27551,0.008911,0.008911,0.008911
46,8012.67,1.39888,1.25313,1.33185,0.80412,0.68426,0.76895,0.4961,1.25461,1.07749,1.27146,0.00888625,0.00888625,0.00888625
47,8185.62,1.39164,1.25391,1.33205,0.79227,0.69631,0.77438,0.5008,1.24861,1.0675,1.26667,0.0088615,0.0088615,0.0088615
48,8357.79,1.38667,1.23817,1.32562,0.79217,0.69702,0.77445,0.5017,1.24587,1.06613,1.26706,0.00883675,0.00883675,0.00883675
49,8530.87,1.38439,1.22755,1.32314,0.80565,0.69182,0.77468,0.50385,1.24182,1.05882,1.26256,0.008812,0.008812,0.008812
50,8703.72,1.38799,1.23041,1.3231,0.80868,0.69815,0.77912,0.50619,1.23611,1.04843,1.25784,0.00878725,0.00878725,0.00878725
51,8876.87,1.37874,1.21697,1.31696,0.80818,0.70542,0.78211,0.50843,1.23135,1.03555,1.25332,0.0087625,0.0087625,0.0087625
52,9049.31,1.37555,1.21586,1.32023,0.81261,0.70678,0.78393,0.51214,1.22288,1.02855,1.24832,0.00873775,0.00873775,0.00873775
53,9222.43,1.37032,1.19911,1.31199,0.80242,0.71296,0.78597,0.51293,1.221,1.02753,1.24573,0.008713,0.008713,0.008713
54,9395.08,1.36366,1.2082,1.30889,0.81286,0.70801,0.78551,0.51498,1.21728,1.02065,1.24413,0.00868825,0.00868825,0.00868825
55,9566.95,1.36095,1.1896,1.30876,0.81195,0.71031,0.78731,0.51745,1.21463,1.01738,1.24321,0.0086635,0.0086635,0.0086635
56,9739,1.36499,1.19063,1.31001,0.81218,0.71015,0.78724,0.51766,1.21522,1.01594,1.24206,0.00863875,0.00863875,0.00863875
57,9911.14,1.35835,1.17994,1.30138,0.81757,0.71363,0.78943,0.51919,1.20768,1.01075,1.23744,0.008614,0.008614,0.008614
58,10083.9,1.35449,1.16979,1.29803,0.8203,0.7142,0.79006,0.52127,1.20415,1.00405,1.23297,0.00858925,0.00858925,0.00858925
59,10256.1,1.3468,1.17506,1.29698,0.8137,0.7158,0.78982,0.52157,1.19993,1.00127,1.23176,0.0085645,0.0085645,0.0085645
60,10428.9,1.34516,1.16201,1.29395,0.80314,0.7259,0.79334,0.52437,1.1969,0.99565,1.22845,0.00853975,0.00853975,0.00853975
61,10601.8,1.33759,1.16133,1.29041,0.8094,0.71955,0.79372,0.52565,1.19407,0.99229,1.22521,0.008515,0.008515,0.008515
62,10773.6,1.33274,1.15469,1.28741,0.81341,0.72246,0.79614,0.52834,1.18921,0.98561,1.22168,0.00849025,0.00849025,0.00849025
63,10946.3,1.33962,1.14814,1.28861,0.8115,0.72286,0.79609,0.52934,1.18786,0.98375,1.22037,0.0084655,0.0084655,0.0084655
64,11118.3,1.33703,1.14603,1.28539,0.81791,0.72423,0.79725,0.5312,1.18323,0.97901,1.21735,0.00844075,0.00844075,0.00844075
65,11290.8,1.33078,1.14308,1.28438,0.81912,0.72129,0.79729,0.53212,1.18129,0.97779,1.21528,0.008416,0.008416,0.008416
66,11463.7,1.32767,1.136,1.27942,0.81384,0.73045,0.79944,0.53297,1.17847,0.9705,1.21371,0.00839125,0.00839125,0.00839125
67,11636.8,1.32318,1.12397,1.2785,0.81025,0.73539,0.8016,0.53476,1.17725,0.9639,1.21378,0.0083665,0.0083665,0.0083665
68,11809.9,1.31819,1.12575,1.27573,0.81013,0.73461,0.80225,0.53697,1.17415,0.95883,1.21188,0.00834175,0.00834175,0.00834175
69,11982.4,1.32228,1.12276,1.27375,0.81031,0.73063,0.80378,0.53884,1.1722,0.95644,1.20957,0.008317,0.008317,0.008317
70,12155.8,1.31631,1.11151,1.27082,0.81524,0.73261,0.8039,0.53909,1.16923,0.95682,1.20748,0.00829225,0.00829225,0.00829225
71,12327.6,1.31097,1.11834,1.27137,0.81092,0.73559,0.80345,0.53956,1.16646,0.95518,1.20595,0.0082675,0.0082675,0.0082675
