epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.328,3.71496,4.49034,3.68446,0.0222,0.02232,0.00627,0.00172,3.32433,4.10016,3.27626,0.00332857,0.00332857,0.0700429
2,262.968,2.95694,3.69504,2.8568,0.26958,0.11907,0.08284,0.03031,2.48441,3.47474,2.59504,0.00664542,0.00664542,0.0400264
3,385.553,2.29076,2.96265,2.26705,0.33376,0.27416,0.2217,0.09,2.09199,2.68356,2.20338,0.00994576,0.00994576,0.00999338
4,506.709,2.01545,2.53469,1.99514,0.46404,0.34543,0.34584,0.15542,1.86735,2.33006,1.9342,0.00992575,0.00992575,0.00992575
5,627.998,1.87997,2.25933,1.86171,0.54557,0.4082,0.4274,0.20634,1.76167,2.04464,1.82047,0.009901,0.009901,0.009901
6,750.754,1.80043,2.0984,1.78257,0.56386,0.45446,0.4755,0.24481,1.68025,1.91596,1.7469,0.00987625,0.00987625,0.00987625
7,872.574,1.73487,1.96582,1.71314,0.64728,0.46479,0.52262,0.27814,1.62073,1.80739,1.66623,0.0098515,0.0098515,0.0098515
8,994.315,1.69528,1.87969,1.67334,0.65939,0.51314,0.57159,0.31094,1.5592,1.70767,1.60727,0.00982675,0.00982675,0.00982675
9,1115.59,1.66245,1.79061,1.63604,0.66509,0.52918,0.5857,0.32623,1.53065,1.64579,1.57449,0.009802,0.009802,0.009802
10,1237.24,1.62916,1.73754,1.61233,0.67107,0.56192,0.61051,0.34468,1.51799,1.5847,1.55915,0.00977725,0.00977725,0.00977725
11,1359.23,1.60319,1.68023,1.58632,0.6838,0.5555,0.61936,0.35896,1.48273,1.52976,1.53245,0.0097525,0.0097525,0.0097525
12,1476.55,1.58355,1.64295,1.57409,0.7298,0.5773,0.65262,0.38061,1.45958,1.44474,1.50794,0.00972775,0.00972775,0.00972775
13,1590.11,1.56293,1.59584,1.54925,0.71135,0.58963,0.65648,0.38738,1.43846,1.41743,1.47782,0.009703,0.009703,0.009703
14,1703.53,1.54843,1.56795,1.53945,0.72757,0.57441,0.65048,0.38746,1.41793,1.41848,1.47835,0.00967825,0.00967825,0.00967825
15,1817.37,1.53462,1.54739,1.52663,0.75727,0.60096,0.68682,0.41405,1.40483,1.33645,1.4558,0.0096535,0.0096535,0.0096535
16,1931.43,1.51519,1.50646,1.51032,0.74298,0.59931,0.67385,0.408,1.38478,1.33743,1.44163,0.00962875,0.00962875,0.00962875
17,2044.9,1.50715,1.48927,1.49843,0.74001,0.61227,0.68893,0.41875,1.37416,1.3112,1.43267,0.009604,0.009604,0.009604
18,2157.69,1.49539,1.45034,1.48723,0.74527,0.63014,0.70155,0.43064,1.35643,1.26634,1.41339,0.00957925,0.00957925,0.00957925
19,2270.6,1.47666,1.42647,1.47458,0.75952,0.61943,0.69631,0.43165,1.35172,1.25982,1.40553,0.0095545,0.0095545,0.0095545
20,2383.6,1.47532,1.41452,1.46674,0.75769,0.63968,0.7132,0.44398,1.32804,1.22687,1.39086,0.00952975,0.00952975,0.00952975
21,2497.1,1.4606,1.39025,1.45967,0.76967,0.63227,0.71124,0.44272,1.33492,1.22554,1.39121,0.009505,0.009505,0.009505
22,2610.82,1.45223,1.38406,1.45094,0.77157,0.63931,0.72272,0.45348,1.31694,1.19183,1.37472,0.00948025,0.00948025,0.00948025
23,2724.45,1.44658,1.3552,1.44059,0.76901,0.64726,0.73003,0.45997,1.29995,1.18316,1.36211,0.0094555,0.0094555,0.0094555
24,2837.67,1.43704,1.34551,1.43521,0.7841,0.64419,0.73206,0.46763,1.28902,1.14465,1.35363,0.00943075,0.00943075,0.00943075
25,2951,1.4252,1.32678,1.42031,0.77861,0.657,0.73392,0.46834,1.28141,1.14108,1.34782,0.009406,0.009406,0.009406
26,3065.12,1.42101,1.31184,1.41816,0.78049,0.65529,0.73692,0.46973,1.28313,1.12951,1.34855,0.00938125,0.00938125,0.00938125
27,3178.66,1.41677,1.30173,1.41504,0.77753,0.66799,0.74197,0.47553,1.27529,1.12771,1.34061,0.0093565,0.0093565,0.0093565
28,3291.21,1.40189,1.27723,1.40614,0.77118,0.67421,0.7469,0.48399,1.25137,1.10091,1.32665,0.00933175,0.00933175,0.00933175
29,3405.59,1.40108,1.27338,1.40345,0.78049,0.68115,0.75464,0.48827,1.25203,1.07899,1.32461,0.009307,0.009307,0.009307
30,3519.7,1.39632,1.26835,1.3962,0.79584,0.67758,0.75378,0.49227,1.23311,1.07031,1.31005,0.00928225,0.00928225,0.00928225
31,3633.4,1.39012,1.25138,1.39152,0.79301,0.68301,0.76107,0.49545,1.23589,1.05976,1.30871,0.0092575,0.0092575,0.0092575
32,3747.38,1.38116,1.23902,1.38807,0.79652,0.68334,0.76574,0.50303,1.22299,1.03956,1.29822,0.00923275,0.00923275,0.00923275
33,3860.9,1.38096,1.24153,1.383,0.79792,0.68392,0.76354,0.50055,1.2282,1.04274,1.29966,0.009208,0.009208,0.009208
34,3974.96,1.37145,1.22416,1.37717,0.79506,0.69194,0.77074,0.50511,1.21785,1.02161,1.29541,0.00918325,0.00918325,0.00918325
35,4088.33,1.37443,1.22191,1.37572,0.79818,0.69465,0.77385,0.51137,1.20423,1.01278,1.28188,0.0091585,0.0091585,0.0091585
36,4202.64,1.36824,1.20678,1.36902,0.80245,0.69026,0.77271,0.51295,1.20047,1.01019,1.27852,0.00913375,0.00913375,0.00913375
37,4315.19,1.35248,1.19815,1.36098,0.80327,0.69019,0.77162,0.51075,1.19811,1.00631,1.27615,0.009109,0.009109,0.009109
38,4429.09,1.35354,1.19294,1.35831,0.81251,0.69765,0.78079,0.51905,1.1912,0.99251,1.26819,0.00908425,0.00908425,0.00908425
39,4543.66,1.35245,1.1887,1.35518,0.81417,0.69715,0.78098,0.52254,1.18509,0.98023,1.26875,0.0090595,0.0090595,0.0090595
40,4656.89,1.34455,1.17909,1.35236,0.80495,0.70753,0.78078,0.52252,1.18261,0.97727,1.26283,0.00903475,0.00903475,0.00903475
41,4772.13,1.33531,1.16899,1.34465,0.79794,0.71274,0.78142,0.5229,1.1809,0.97301,1.26014,0.00901,0.00901,0.00901
42,4886.6,1.33584,1.16427,1.34517,0.81331,0.70106,0.78523,0.52643,1.1754,0.96624,1.25502,0.00898525,0.00898525,0.00898525
43,4999.72,1.33379,1.15836,1.34272,0.82187,0.70646,0.78764,0.52746,1.17221,0.95903,1.25451,0.0089605,0.0089605,0.0089605
44,5113.43,1.32774,1.14666,1.33749,0.82702,0.70283,0.7854,0.52729,1.16688,0.95866,1.25001,0.00893575,0.00893575,0.00893575
45,5227.58,1.32957,1.14971,1.33379,0.817,0.70912,0.7889,0.53223,1.16325,0.94726,1.24526,0.008911,0.008911,0.008911
46,5341.41,1.32161,1.13338,1.32908,0.82279,0.71138,0.79321,0.53633,1.16173,0.93537,1.24383,0.00888625,0.00888625,0.00888625
47,5454.35,1.3134,1.13749,1.32804,0.82012,0.71399,0.79283,0.53684,1.15502,0.93491,1.23894,0.0088615,0.0088615,0.0088615
48,5568.38,1.31542,1.12201,1.32093,0.82667,0.71145,0.79395,0.53876,1.15278,0.92951,1.23584,0.00883675,0.00883675,0.00883675
49,5681.46,1.31095,1.11604,1.3202,0.82283,0.71472,0.79389,0.54137,1.14639,0.9247,1.23277,0.008812,0.008812,0.008812
50,5795.29,1.31271,1.11883,1.32061,0.83876,0.71049,0.79791,0.54265,1.14593,0.92259,1.23234,0.00878725,0.00878725,0.00878725
51,5908.71,1.30724,1.10873,1.3157,0.81432,0.72578,0.80044,0.54691,1.14125,0.91114,1.22723,0.0087625,0.0087625,0.0087625
52,6022.38,1.30271,1.10752,1.31722,0.82408,0.72811,0.80116,0.548,1.13663,0.90458,1.22347,0.00873775,0.00873775,0.00873775
53,6136.31,1.29977,1.0921,1.31011,0.82805,0.72549,0.80346,0.55001,1.13108,0.90229,1.21963,0.008713,0.008713,0.008713
54,6251.22,1.29447,1.09704,1.30781,0.82318,0.73312,0.80528,0.55116,1.12855,0.89659,1.21957,0.00868825,0.00868825,0.00868825
55,6365.99,1.29332,1.08346,1.30963,0.83927,0.72238,0.80472,0.55212,1.12495,0.89633,1.21586,0.0086635,0.0086635,0.0086635
56,6479.44,1.29596,1.08483,1.30911,0.83425,0.72744,0.80673,0.5555,1.12141,0.88749,1.21196,0.00863875,0.00863875,0.00863875
