epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.705,3.77188,4.61237,3.93188,0.00189,0.0926,0.00054,0.00011,3.56592,4.2873,3.69936,0.000332857,0.000332857,0.0670471
2,249.592,3.7892,4.45329,3.56151,0.00181,0.12258,0.00052,0.0001,3.5486,4.25854,3.52183,0.000649702,0.000649702,0.0340307
3,366.284,3.74737,4.35638,3.39119,0.00585,0.06544,0.0015,0.00034,3.48139,4.1758,3.37566,0.000950047,0.000950047,0.000997666
4,485.251,3.57539,4.19125,3.27639,0.03809,0.04281,0.01957,0.00599,3.10035,3.95613,3.16804,0.00092575,0.00092575,0.00092575
5,602.474,3.19114,3.94336,3.08293,0.39336,0.08866,0.0533,0.01781,2.80656,3.62869,2.90421,0.000901,0.000901,0.000901
6,717.71,2.85415,3.62836,2.80925,0.19467,0.12587,0.0871,0.03164,2.59829,3.31339,2.70876,0.00087625,0.00087625,0.00087625
7,833.816,2.62962,3.4,2.61915,0.20657,0.14422,0.10628,0.04016,2.44047,3.20992,2.57772,0.0008515,0.0008515,0.0008515
8,950.457,2.47522,3.21129,2.48095,0.23355,0.20224,0.13638,0.05005,2.35106,3.02805,2.50222,0.00082675,0.00082675,0.00082675
9,1066.39,2.36333,3.05188,2.3756,0.26597,0.2346,0.16548,0.06458,2.22977,3.00459,2.38608,0.000802,0.000802,0.000802
10,1182.19,2.27002,2.91694,2.28742,0.29944,0.25069,0.19024,0.07677,2.16817,2.92999,2.3185,0.00077725,0.00077725,0.00077725
11,1297.95,2.20193,2.82675,2.22995,0.30226,0.27964,0.2082,0.08632,2.11783,3.32621,2.28341,0.0007525,0.0007525,0.0007525
12,1415.87,2.15591,2.7536,2.19188,0.31364,0.30955,0.23328,0.0987,2.05093,3.24677,2.21734,0.00072775,0.00072775,0.00072775
13,1532.98,2.10428,2.67286,2.13447,0.41873,0.32224,0.30971,0.13339,2.00942,2.42959,2.15364,0.000703,0.000703,0.000703
14,1650.36,2.07112,2.60855,2.10755,0.43654,0.33221,0.32571,0.14135,1.98874,2.38889,2.14229,0.00067825,0.00067825,0.00067825
15,1766.55,2.03915,2.54617,2.07462,0.46832,0.35734,0.3551,0.15932,1.94537,2.29039,2.09245,0.0006535,0.0006535,0.0006535
16,1883.48,2.00771,2.49047,2.04477,0.44784,0.35912,0.35009,0.15795,1.92964,2.31424,2.06153,0.00062875,0.00062875,0.00062875
17,1999.87,1.98415,2.4383,2.01644,0.49186,0.38426,0.38428,0.17662,1.88485,2.22046,2.03608,0.000604,0.000604,0.000604
18,2116.32,1.9695,2.39207,2.00215,0.48877,0.38726,0.3863,0.17987,1.87354,2.19516,2.01736,0.00057925,0.00057925,0.00057925
19,2233.09,1.94145,2.35875,1.98278,0.5114,0.40696,0.41214,0.19311,1.84924,2.13664,1.98567,0.0005545,0.0005545,0.0005545
