epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.519,3.57559,4.37585,3.15741,0.0008,0.14831,0.00089,0.00018,3.47846,4.07732,2.94996,0.000332857,0.000332857,0.0670471
2,228.509,3.43765,4.32124,2.84758,0.0008,0.15648,0.00129,0.00048,3.47004,4.05422,2.87911,0.000649702,0.000649702,0.0340307
3,334.761,3.36356,4.3206,2.75217,0.001,0.16787,0.00079,0.00018,3.45462,4.09299,2.80982,0.000950047,0.000950047,0.000997666
4,440.238,3.29959,4.32767,2.69137,0.00102,0.18692,0.00283,0.00059,3.41934,4.15331,2.77613,0.00092575,0.00092575,0.00092575
5,545.665,3.26615,4.32883,2.65589,0.00116,0.19039,0.00181,0.00041,3.41279,4.14316,2.75072,0.000901,0.000901,0.000901
6,651.223,3.24844,4.32195,2.6414,0.00111,0.18262,0.00205,0.00046,3.39993,4.13637,2.73572,0.00087625,0.00087625,0.00087625
7,756.426,3.232,4.32153,2.62358,0.00111,0.18479,0.00343,0.00073,3.38887,4.16993,2.7223,0.0008515,0.0008515,0.0008515
8,861.864,3.22597,4.32679,2.617,0.00102,0.17979,0.00371,0.00086,3.38866,4.19206,2.71759,0.00082675,0.00082675,0.00082675
9,967.632,3.21799,4.31969,2.60504,0.00101,0.17948,0.0027,0.00059,3.38242,4.17563,2.71336,0.000802,0.000802,0.000802
10,1073.43,3.21361,4.32146,2.60807,0.00104,0.18531,0.00423,0.00086,3.36952,4.16194,2.70862,0.00077725,0.00077725,0.00077725
11,1178.93,3.19482,4.32288,2.60527,0.00101,0.18726,0.00406,0.0009,3.36209,4.1732,2.70822,0.0007525,0.0007525,0.0007525
12,1284.51,3.18263,4.31535,2.60328,0.0011,0.18528,0.00279,0.00064,3.35482,4.17901,2.70683,0.00072775,0.00072775,0.00072775
13,1389.48,3.18212,4.33043,2.59254,0.00107,0.17836,0.00362,0.00086,3.35486,4.1679,2.70399,0.000703,0.000703,0.000703
14,1494.82,3.17627,4.32188,2.59361,0.00111,0.18201,0.00379,0.00104,3.35684,4.16891,2.70631,0.00067825,0.00067825,0.00067825
15,1599.66,3.16724,4.32274,2.59695,0.0011,0.18289,0.00384,0.00082,3.34632,4.19362,2.69672,0.0006535,0.0006535,0.0006535
16,1705.3,3.16674,4.32241,2.59378,0.00118,0.18218,0.00419,0.001,3.34208,4.19229,2.70378,0.00062875,0.00062875,0.00062875
17,1810.39,3.16657,4.32554,2.59061,0.00114,0.17934,0.00401,0.00091,3.33659,4.19308,2.70508,0.000604,0.000604,0.000604
18,1915.34,3.17285,4.32037,2.59518,0.00102,0.18209,0.00423,0.00091,3.33036,4.18329,2.70317,0.00057925,0.00057925,0.00057925
19,2021.21,3.16138,4.31638,2.5959,0.00114,0.17903,0.00356,0.00082,3.33286,4.19041,2.70601,0.0005545,0.0005545,0.0005545
20,2126.83,3.16816,4.32763,2.58985,0.00113,0.17964,0.00327,0.00073,3.32855,4.18023,2.69276,0.00052975,0.00052975,0.00052975
21,2232.35,3.15448,4.3189,2.58979,0.00123,0.18692,0.00297,0.00068,3.32943,4.1974,2.69934,0.000505,0.000505,0.000505
22,2338.17,3.15061,4.3212,2.59368,0.00133,0.16951,0.00258,0.00056,3.33182,4.21805,2.70551,0.00048025,0.00048025,0.00048025
