epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.369,3.70698,4.49064,3.67668,0.01851,0.0197,0.00367,0.00086,3.25804,4.15891,3.26094,0.00332857,0.00332857,0.0700429
2,287.444,2.93936,3.68047,2.83917,0.37418,0.11646,0.09216,0.03281,2.47593,3.45217,2.55338,0.00663992,0.00663992,0.0400209
3,419.07,2.30291,2.98488,2.28347,0.36101,0.24659,0.20555,0.08414,2.0997,2.82903,2.2051,0.00992927,0.00992927,0.00997689
4,548.57,2.02429,2.54526,1.99643,0.45017,0.35378,0.34852,0.15506,1.86204,2.29438,1.92412,0.009901,0.009901,0.009901
5,676.573,1.88369,2.27271,1.85925,0.52187,0.40307,0.4168,0.20426,1.74728,2.0721,1.80012,0.009868,0.009868,0.009868
6,804.537,1.80045,2.11497,1.77939,0.60813,0.43675,0.47236,0.2425,1.6884,1.94317,1.74378,0.009835,0.009835,0.009835
7,932.203,1.73654,1.98426,1.71682,0.61773,0.45266,0.48895,0.25826,1.62189,1.84981,1.66978,0.009802,0.009802,0.009802
8,1059.59,1.69956,1.8955,1.67701,0.63457,0.49628,0.54493,0.28986,1.60703,1.80037,1.65058,0.009769,0.009769,0.009769
9,1187.18,1.66451,1.80997,1.64616,0.648,0.52141,0.57702,0.31991,1.52555,1.66026,1.58966,0.009736,0.009736,0.009736
10,1314.99,1.63426,1.75613,1.61751,0.64865,0.53766,0.58621,0.32358,1.53649,1.63146,1.57212,0.009703,0.009703,0.009703
11,1442.01,1.60544,1.69776,1.59341,0.68762,0.53392,0.60586,0.34695,1.48797,1.55186,1.54449,0.00967,0.00967,0.00967
12,1563.61,1.58534,1.66034,1.5785,0.69715,0.58593,0.64563,0.378,1.44937,1.45709,1.5045,0.009637,0.009637,0.009637
13,1680.64,1.56034,1.6091,1.55303,0.69359,0.57867,0.63567,0.37606,1.43932,1.45881,1.49214,0.009604,0.009604,0.009604
14,1797.95,1.54689,1.58591,1.54292,0.72442,0.58189,0.65495,0.38963,1.42306,1.41066,1.47704,0.009571,0.009571,0.009571
15,1915.08,1.5346,1.55727,1.5296,0.75037,0.59036,0.67533,0.40728,1.40378,1.35914,1.46058,0.009538,0.009538,0.009538
16,2032.38,1.51758,1.51636,1.51503,0.73602,0.60438,0.67427,0.40795,1.38821,1.34267,1.44821,0.009505,0.009505,0.009505
17,2149.54,1.50973,1.49405,1.50321,0.75133,0.60814,0.69169,0.41918,1.37365,1.29712,1.43554,0.009472,0.009472,0.009472
18,2266.54,1.49904,1.45717,1.49381,0.76635,0.60819,0.69095,0.4187,1.371,1.29164,1.43406,0.009439,0.009439,0.009439
19,2384.28,1.48027,1.43808,1.48217,0.7624,0.62578,0.70433,0.43194,1.35954,1.25093,1.41343,0.009406,0.009406,0.009406
20,2502.21,1.47379,1.42193,1.47069,0.77301,0.62475,0.70857,0.43922,1.3361,1.23198,1.4011,0.009373,0.009373,0.009373
21,2619.05,1.45785,1.39924,1.46164,0.77833,0.63378,0.714,0.44265,1.33493,1.22052,1.39851,0.00934,0.00934,0.00934
22,2735.99,1.45162,1.39598,1.45699,0.78279,0.63795,0.72024,0.45029,1.31873,1.19448,1.38129,0.009307,0.009307,0.009307
23,2853.07,1.44754,1.36587,1.44554,0.79082,0.64553,0.72847,0.4591,1.31606,1.17416,1.37705,0.009274,0.009274,0.009274
24,2970.11,1.43841,1.35106,1.43899,0.77895,0.65527,0.73241,0.46172,1.29579,1.16029,1.36027,0.009241,0.009241,0.009241
25,3093.03,1.42615,1.33476,1.4238,0.79256,0.66,0.73756,0.47094,1.27778,1.13368,1.35167,0.009208,0.009208,0.009208
26,3216.25,1.42023,1.32294,1.42101,0.7808,0.66634,0.74196,0.47049,1.28478,1.12724,1.34963,0.009175,0.009175,0.009175
27,3338.52,1.41478,1.30769,1.41596,0.79809,0.66261,0.74413,0.47466,1.27603,1.13284,1.3417,0.009142,0.009142,0.009142
28,3460.99,1.40182,1.2867,1.40885,0.77855,0.65938,0.73983,0.47663,1.26148,1.11508,1.33313,0.009109,0.009109,0.009109
29,3583.43,1.40025,1.28686,1.4055,0.80129,0.67426,0.75083,0.48399,1.25997,1.08517,1.33037,0.009076,0.009076,0.009076
30,3706.29,1.39655,1.27704,1.40009,0.80354,0.67097,0.75483,0.49036,1.2448,1.06503,1.31967,0.009043,0.009043,0.009043
31,3828.89,1.38781,1.25929,1.3923,0.79886,0.67557,0.76122,0.49375,1.2431,1.06764,1.3152,0.00901,0.00901,0.00901
32,3951.18,1.37939,1.24764,1.38905,0.79274,0.69248,0.76441,0.49776,1.23531,1.04926,1.31053,0.008977,0.008977,0.008977
33,4073.53,1.37589,1.24693,1.38244,0.80731,0.68403,0.76653,0.50076,1.2298,1.04361,1.30408,0.008944,0.008944,0.008944
34,4196.06,1.36895,1.22832,1.37736,0.80742,0.68246,0.76689,0.502,1.22667,1.03686,1.29708,0.008911,0.008911,0.008911
35,4318.65,1.37027,1.22449,1.37472,0.80807,0.68721,0.76864,0.50146,1.22593,1.03577,1.29583,0.008878,0.008878,0.008878
36,4442.35,1.36522,1.20808,1.36655,0.81951,0.68293,0.76808,0.50678,1.21609,1.01333,1.28657,0.008845,0.008845,0.008845
37,4564.28,1.34708,1.20172,1.35683,0.78988,0.70337,0.77108,0.50879,1.20405,1.01279,1.27624,0.008812,0.008812,0.008812
38,4687.06,1.35135,1.19424,1.35349,0.80917,0.6964,0.77528,0.51243,1.19757,0.99925,1.27479,0.008779,0.008779,0.008779
39,4809.49,1.34555,1.18546,1.34989,0.81754,0.69728,0.77859,0.51623,1.1904,0.98785,1.26925,0.008746,0.008746,0.008746
40,4931.69,1.33812,1.18194,1.34594,0.81166,0.70206,0.77836,0.51746,1.19654,0.98108,1.27001,0.008713,0.008713,0.008713
41,5054.02,1.33009,1.16198,1.33917,0.82222,0.6985,0.78046,0.52168,1.18193,0.97584,1.25806,0.00868,0.00868,0.00868
42,5176.63,1.33364,1.15875,1.33924,0.81402,0.70768,0.78521,0.52332,1.18302,0.97183,1.25411,0.008647,0.008647,0.008647
43,5298.84,1.32877,1.15899,1.33729,0.80169,0.71203,0.78635,0.5226,1.18197,0.96106,1.2575,0.008614,0.008614,0.008614
44,5420.86,1.3221,1.14163,1.33061,0.8266,0.69988,0.78424,0.52699,1.17322,0.95647,1.24915,0.008581,0.008581,0.008581
45,5543.33,1.32546,1.14805,1.3304,0.83639,0.69768,0.78927,0.52941,1.17345,0.95192,1.24738,0.008548,0.008548,0.008548
46,5665.7,1.3155,1.13324,1.3212,0.81549,0.70921,0.79051,0.53132,1.17163,0.94551,1.2452,0.008515,0.008515,0.008515
47,5786.26,1.31021,1.13813,1.32227,0.82206,0.71053,0.7944,0.53576,1.16522,0.93587,1.24039,0.008482,0.008482,0.008482
48,5903.54,1.30861,1.11992,1.31372,0.81658,0.71761,0.79723,0.5378,1.15795,0.92695,1.23292,0.008449,0.008449,0.008449
49,6020.99,1.30372,1.11321,1.31248,0.81866,0.71603,0.79322,0.53823,1.15505,0.92975,1.23159,0.008416,0.008416,0.008416
50,6138.66,1.30721,1.11688,1.30964,0.82212,0.71422,0.79787,0.54109,1.15036,0.91938,1.22587,0.008383,0.008383,0.008383
51,6255.85,1.30399,1.10253,1.30724,0.81816,0.72273,0.8009,0.54382,1.1497,0.90803,1.22566,0.00835,0.00835,0.00835
